SuperCategory,TokenType,Token,AccumulatedScore
alt,Anomaly_Driver,review,0.0004780416844369029
alt,Anomaly_Driver,shouldn,0.0003505513526306459
alt,Anomaly_Driver,reports,0.00035018717189814195
alt,Anomaly_Driver,asked,0.0002887079978791007
alt,Anomaly_Driver,r,0.00027988678875772165
alt,Anomaly_Driver,configured,0.0002752003725618124
alt,Anomaly_Driver,m,0.0002589358126442676
alt,Anomaly_Driver,allen,0.00023867212958066374
alt,Anomaly_Driver,boards,0.0002167148335956881
alt,Anomaly_Driver,mt,0.00020592486052919411
alt,Anomaly_Driver,places,0.0001943492449754558
alt,Anomaly_Driver,journal,0.00019417719449847936
alt,Anomaly_Driver,cr,0.00016910713056859095
alt,Anomaly_Driver,bob,0.00014469187999566202
alt,Anomaly_Driver,customer,0.00013584278276539407
alt,Anomaly_Driver,year,0.00013545912829613372
alt,Anomaly_Driver,document,0.0001344515148048231
alt,Anomaly_Driver,giants,0.00013202717555031994
alt,Anomaly_Driver,appear,0.00012101635120416176
alt,Anomaly_Driver,others,0.00011086157373938477
alt,Anomaly_Driver,mb,0.00010813796552611166
alt,Anomaly_Driver,sentencing,0.00010370246600359679
alt,Anomaly_Driver,ken,9.634353773435578e-05
alt,Anomaly_Driver,discussion,9.299982766606263e-05
alt,Anomaly_Driver,fly,8.476582006551325e-05
alt,Anomaly_Driver,##rr,8.442006601399044e-05
alt,Anomaly_Driver,graphics,8.267127122962847e-05
alt,Anomaly_Driver,everyone,7.16009373718407e-05
alt,Anomaly_Driver,logo,7.115069893188774e-05
alt,Anomaly_Driver,define,6.762581888324349e-05
alt,Anomaly_Driver,babe,6.692475872114301e-05
alt,Anomaly_Driver,hands,6.660227127213148e-05
alt,Anomaly_Driver,most,6.139162290992317e-05
alt,Anomaly_Driver,evil,5.9924418383161535e-05
alt,Anomaly_Driver,##ert,5.6859009691834214e-05
alt,Anomaly_Driver,sells,5.582469020737335e-05
alt,Anomaly_Driver,jumper,5.3044701871840516e-05
alt,Anomaly_Driver,plates,5.210952731431462e-05
alt,Anomaly_Driver,almost,5.122089319229417e-05
alt,Anomaly_Driver,assemble,5.08153170812875e-05
alt,Anomaly_Driver,apologize,5.018099109292962e-05
alt,Anomaly_Driver,aix,4.951723149133613e-05
alt,Anomaly_Driver,email,4.92612997732067e-05
alt,Anomaly_Driver,##dur,4.8324582166969776e-05
alt,Anomaly_Driver,matter,4.8114687888300975e-05
alt,Anomaly_Driver,crime,4.7664676458225586e-05
alt,Anomaly_Driver,##op,4.73905420221854e-05
alt,Anomaly_Driver,simply,4.732852471533988e-05
alt,Anomaly_Driver,joy,4.641042905859649e-05
alt,Anomaly_Driver,##ris,4.6086407382972536e-05
comp,Anomaly_Driver,daryl,0.00012799296528100967
