Category,AUC_Base_Mean,AUC_Base_Std,AUC_Removed_Mean,AUC_Removed_Std,Drop_Mean
alt.atheism,0.5076102941176471,0.049395212344873624,0.47922794117647055,0.10802663060352373,0.02838235294117658
comp.graphics,0.49379731379731384,0.051363177879090074,0.47035409035409026,0.06865217235309036,0.023443223443223582
comp.os.ms-windows.misc,0.4859076625574087,0.09569313701298343,0.48598017887357986,0.09634814427857047,-7.251631617116727e-05
comp.sys.ibm.pc.hardware,0.433695914914189,0.08798608510093442,0.41266618322455884,0.09166827909556928,0.021029731689630182
comp.sys.mac.hardware,0.4678756476683937,0.1155646584679111,0.46296570441648155,0.0662277356502088,0.00490994325191213
comp.windows.x,0.5612258953168043,0.1124768457799897,0.5111111111111111,0.10394054045681782,0.050114784205693264
misc.forsale,0.5441758241758241,0.08489990872649623,0.5125763125763125,0.07528135483126684,0.031599511599511576
rec.autos,0.4678145087235996,0.0638966713037244,0.4504591368227732,0.033158262461154706,0.017355371900826366
rec.motorcycles,0.5450454545454546,0.12393235374907202,0.5398181818181818,0.08934780332318017,0.005227272727272858
rec.sport.baseball,0.400776610324349,0.08415175761940953,0.43878483325719503,0.08264235644153733,-0.038008222932846
rec.sport.hockey,0.46486363636363637,0.16319649528828786,0.5041363636363637,0.13547472775209457,-0.03927272727272735
sci.crypt,0.5523526724531751,0.06658366289159305,0.5164915486523527,0.08669735257850822,0.0358611238008224
sci.electronics,0.4861493836113125,0.06551744713732102,0.518153251148175,0.055424186661986584,-0.03200386753686252
sci.med,0.4971074380165289,0.09776624089640665,0.4791551882460974,0.07845107395254729,0.017952249770431528
sci.space,0.53544536271809,0.03950407459912578,0.5225436179981635,0.0509533075192734,0.012901744719926445
soc.religion.christian,0.5740000000000001,0.05907860011658654,0.5447272727272727,0.03305123745823542,0.02927272727272734
talk.politics.guns,0.5078846153846154,0.07617773716233643,0.48063186813186815,0.09711742463312693,0.027252747252747234
talk.politics.mideast,0.516090425531915,0.10191713535268275,0.5486968085106383,0.05485428916536089,-0.032606382978723314
talk.politics.misc,0.5017836812144212,0.0974237677785906,0.4587096774193548,0.07451664847231093,0.04307400379506637
talk.religion.misc,0.5345804988662131,0.08462410650209706,0.49399092970521535,0.04890499904947704,0.04058956916099771
