SuperCategory,TokenType,Token,AccumulatedScore
alt,Anomaly_Driver,did,0.0002623984244564781
alt,Anomaly_Driver,sarcasm,0.00017636855482123793
alt,Anomaly_Driver,she,0.00016963331718216067
alt,Anomaly_Driver,15,0.0001300800248827727
alt,Anomaly_Driver,christy,0.00012561564799398183
alt,Anomaly_Driver,##llus,0.00011540545383468271
alt,Anomaly_Driver,review,8.570203262934229e-05
alt,Anomaly_Driver,##rz,8.206411730498076e-05
alt,Anomaly_Driver,root,8.097733953036368e-05
alt,Anomaly_Driver,thanks,7.656092634533707e-05
alt,Anomaly_Driver,forget,7.370536104644998e-05
alt,Anomaly_Driver,##rri,7.078959606587887e-05
alt,Anomaly_Driver,ja,6.953190168133006e-05
alt,Anomaly_Driver,##pped,6.914085242897272e-05
alt,Anomaly_Driver,flag,6.78779513691552e-05
alt,Anomaly_Driver,methodology,6.286490242928267e-05
alt,Anomaly_Driver,wow,6.058055887478986e-05
alt,Anomaly_Driver,pressure,5.994449275021907e-05
alt,Anomaly_Driver,else,5.657084941503854e-05
alt,Anomaly_Driver,gov,5.255250762274955e-05
alt,Anomaly_Driver,federal,5.175726837478578e-05
alt,Anomaly_Driver,train,4.8390362735517556e-05
alt,Anomaly_Driver,rob,4.6495587048411836e-05
alt,Anomaly_Driver,fbi,4.464698936317291e-05
alt,Anomaly_Driver,14,4.3206133523199244e-05
alt,Anomaly_Driver,141,4.058483482367592e-05
alt,Anomaly_Driver,proprietary,3.979349348810501e-05
alt,Anomaly_Driver,##ust,3.939551861549262e-05
alt,Anomaly_Driver,##vy,3.849195782095194e-05
alt,Anomaly_Driver,deals,3.709423613145191e-05
alt,Anomaly_Driver,horns,3.553223796188831e-05
alt,Anomaly_Driver,##bags,3.534217830747366e-05
alt,Anomaly_Driver,fe,3.437073301029159e-05
alt,Anomaly_Driver,summary,3.402465736144222e-05
alt,Anomaly_Driver,economical,3.391845093574375e-05
alt,Anomaly_Driver,exist,3.2268889117403885e-05
alt,Anomaly_Driver,contrary,3.2135209767147896e-05
